year,group,ASFR_14,ASFR_15,ASFR_16,ASFR_17,ASFR_18,ASFR_19,ASFR_20,ASFR_21,ASFR_22,ASFR_23,ASFR_24,ASFR_25,ASFR_26,ASFR_27,ASFR_28,ASFR_29,ASFR_30,ASFR_31,ASFR_32,ASFR_33,ASFR_34,ASFR_35,ASFR_36,ASFR_37,ASFR_38,ASFR_39,ASFR_40,ASFR_41,ASFR_42,ASFR_43,ASFR_44,ASFR_45,ASFR_46,ASFR_47,ASFR_48,ASFR_49,ASFR_50,ASFR_51,ASFR_52,ASFR_53,ASFR_54
2014,0,0.001976192,0.005829269,0.014372981,0.026894486,0.044567145,0.066716936,0.078064685,0.080768236,0.082800669,0.084573968,0.090653075,0.098354878,0.103897021,0.106186028,0.109343255,0.113695873,0.108437197,0.103399762,0.093874021,0.082632407,0.077375569,0.066956483,0.056630403,0.046562677,0.035828706,0.0295322,0.022180378,0.014482801,0.00846705,0.004956687,0.002891507,0.001625661,0.00087104,0.000446934,0.00026883,0.000155426,8.58059E-05,6.20321E-05,4.51572E-05,3.39959E-05,2.73302E-05
2015,0,0.00200079,0.005884575,0.014477768,0.027051423,0.044757331,0.066874831,0.078198946,0.080915033,0.082976681,0.084738948,0.090759725,0.09839914,0.103903575,0.10617465,0.109319213,0.113588024,0.108329326,0.103288904,0.093762549,0.082539368,0.077231939,0.066814092,0.056494679,0.046431157,0.035730182,0.029424324,0.022089329,0.014424188,0.008436273,0.004938337,0.002879231,0.001617647,0.000866313,0.000444434,0.000267161,0.000154435,8.52937E-05,0.000061625,4.48395E-05,3.37521E-05,2.71222E-05
2016,0,0.002025352,0.0059398,0.014582401,0.02720813,0.044947238,0.067032493,0.07833301,0.081061613,0.083152433,0.084903684,0.090866218,0.098443337,0.10391012,0.106163289,0.109295207,0.113480333,0.108221613,0.103178209,0.093651241,0.082446466,0.077088519,0.06667191,0.056359155,0.046299829,0.035631802,0.029316606,0.021998414,0.014365662,0.008405541,0.004920014,0.002866974,0.001609645,0.000861593,0.000441938,0.000265494,0.000153445,8.47823E-05,6.12185E-05,4.45223E-05,3.35086E-05,2.69146E-05
2017,0,0.002049979,0.005995171,0.014687313,0.027365253,0.04513765,0.067190576,0.078467431,0.081208584,0.083328653,0.085068859,0.090972994,0.098487651,0.103916681,0.106151897,0.109271137,0.113372355,0.108113612,0.103067218,0.093539636,0.082353317,0.076944718,0.066529349,0.05622327,0.046168152,0.03553316,0.029208601,0.021907257,0.014306979,0.008374728,0.004901642,0.002854683,0.001601621,0.00085686,0.000439435,0.000263822,0.000152453,8.42695E-05,6.08109E-05,4.42042E-05,3.32645E-05,2.67064E-05
2018,0,0.00207457,0.006050462,0.01479207,0.027522146,0.045327782,0.067348426,0.078601654,0.081355338,0.083504614,0.085233791,0.091079612,0.0985319,0.103923232,0.106140522,0.109247101,0.113264535,0.10800577,0.10295639,0.093428195,0.082260303,0.076801127,0.066386997,0.056087584,0.046036668,0.035434663,0.029100754,0.021816234,0.014248383,0.008343959,0.004883297,0.002842411,0.00159361,0.000852134,0.000436936,0.000262153,0.000151463,8.37575E-05,0.000060404,4.38865E-05,3.30208E-05,2.64985E-05
2019,0,0.002099159,0.006105747,0.014896817,0.027679024,0.045517897,0.06750626,0.078735863,0.081502078,0.083680558,0.085398707,0.091186221,0.098576144,0.103929782,0.106129147,0.109223067,0.113156724,0.107897937,0.102845573,0.093316763,0.082167298,0.076657549,0.066244658,0.05595191,0.045905196,0.035336175,0.028992918,0.021725219,0.014189792,0.008313194,0.004864954,0.00283014,0.001585599,0.000847408,0.000434437,0.000260484,0.000150472,8.32455E-05,0.000059997,4.35689E-05,0.000032777,2.62906E-05
2020,0,0.002123712,0.006160951,0.015001411,0.02783567,0.045707731,0.067663863,0.078869876,0.081648602,0.083856242,0.08556338,0.091292672,0.098620322,0.103936322,0.106117788,0.109199068,0.113049072,0.107790262,0.102734917,0.093205495,0.08207443,0.076514183,0.066102528,0.055816436,0.045773917,0.035237831,0.02888524,0.021634338,0.014131288,0.008282474,0.004846638,0.002817887,0.001577599,0.000842689,0.000431941,0.000258818,0.000149483,8.27342E-05,5.95907E-05,4.32518E-05,3.25337E-05,0.000026083
2021,0,0.002148329,0.006216301,0.015106283,0.027992735,0.045898071,0.067821884,0.079004244,0.081795516,0.084032395,0.085728491,0.091399406,0.098664618,0.103942879,0.106106399,0.109175004,0.112941132,0.1076823,0.102623967,0.093093931,0.081981313,0.076370434,0.065960019,0.0556806,0.045642289,0.035139226,0.028777274,0.021543215,0.014072627,0.008251672,0.004828273,0.002805601,0.001569579,0.000837958,0.000429439,0.000257147,0.000148491,8.22216E-05,5.91833E-05,4.29338E-05,3.22896E-05,2.58749E-05
2022,0,0.002172911,0.006271571,0.015211,0.028149568,0.046088131,0.067979674,0.079138415,0.081942214,0.084208288,0.085893359,0.091505983,0.098708848,0.103949426,0.106095026,0.109150976,0.11283335,0.107574497,0.102513179,0.092982529,0.081888333,0.076226895,0.06581772,0.055544964,0.045510853,0.035040765,0.028669468,0.021452226,0.014014052,0.008220915,0.004809935,0.002793334,0.00156157,0.000833234,0.000426941,0.000255478,0.000147501,8.17098E-05,5.87765E-05,4.26163E-05,0.000032046,2.56671E-05
2023,0,0.002197491,0.006326835,0.015315708,0.028306386,0.046278173,0.068137448,0.079272573,0.082088898,0.084384164,0.086058212,0.09161255,0.098753073,0.103955972,0.106083654,0.109126949,0.112725578,0.107466703,0.1024024,0.092871138,0.081795362,0.07608337,0.065675433,0.05540934,0.04537943,0.034942313,0.028561671,0.021361245,0.013955483,0.008190161,0.004791599,0.002781067,0.001553562,0.00082851,0.000424443,0.00025381,0.000146511,0.000081198,5.83697E-05,4.22988E-05,3.18023E-05,2.54593E-05
2024,0,0.002222034,0.006382018,0.015420262,0.028462974,0.046467936,0.06829499,0.079406534,0.082235365,0.084559781,0.086222822,0.09171896,0.098797234,0.103962508,0.106072297,0.109102957,0.112617965,0.107359066,0.102291785,0.09275991,0.081702527,0.075940056,0.065533356,0.055273916,0.045248199,0.034844006,0.028454033,0.021270398,0.013897,0.008159452,0.004773289,0.002768819,0.001545566,0.000823793,0.000421948,0.000252144,0.000145522,8.06869E-05,5.79636E-05,4.19818E-05,3.15591E-05,2.52518E-05
2025,0,0.002246643,0.006437348,0.015525094,0.028619978,0.046658203,0.068452951,0.079540851,0.082382223,0.084735866,0.086387869,0.091825652,0.098841511,0.10396906,0.10606091,0.1090789,0.112510063,0.107251143,0.102180874,0.092648386,0.081609444,0.07579636,0.065390899,0.05513813,0.045116619,0.034745437,0.028346108,0.021179308,0.013838361,0.008128661,0.004754931,0.002756538,0.001537548,0.000819064,0.000419447,0.000250474,0.000144531,8.01745E-05,5.75563E-05,0.000041664,3.13151E-05,2.50438E-05
2026,0,0.002271215,0.006492596,0.015629772,0.028776752,0.046848191,0.06861068,0.07967497,0.082528864,0.084911692,0.086552674,0.091932188,0.098885723,0.103975603,0.10604954,0.109054879,0.11240232,0.107143378,0.102070126,0.092537024,0.081516497,0.075652874,0.065248652,0.055002544,0.044985232,0.034647012,0.028238342,0.021088353,0.013779809,0.008097916,0.0047366,0.002744275,0.001529542,0.000814341,0.00041695,0.000248806,0.000143541,7.96629E-05,5.71496E-05,4.13466E-05,3.10716E-05,0.000024836
2027,0,0.002295785,0.00654784,0.015734441,0.028933511,0.047038161,0.068768394,0.079809076,0.082675491,0.085087501,0.086717463,0.092038713,0.09892993,0.103982144,0.10603817,0.109030859,0.112294587,0.107035622,0.101959388,0.092425673,0.081423559,0.075509402,0.065106418,0.054866971,0.044853858,0.034548597,0.028130585,0.020997405,0.013721261,0.008067173,0.004718271,0.002732013,0.001521537,0.000809619,0.000414453,0.000247138,0.000142551,7.91513E-05,0.000056743,4.10292E-05,0.000030828,2.46283E-05
2028,0,0.002320319,0.006603002,0.015838955,0.02909004,0.047227851,0.068925875,0.079942985,0.082821902,0.08526305,0.08688201,0.092145081,0.098974072,0.103988676,0.106026816,0.109006874,0.112187011,0.106928025,0.101848812,0.092314486,0.081330758,0.07536614,0.064964392,0.054731596,0.044722676,0.034450326,0.028022987,0.020906592,0.0136628,0.008036476,0.004699968,0.002719769,0.001513544,0.000804904,0.000411959,0.000245473,0.000141563,7.86404E-05,0.000056337,4.07123E-05,3.05848E-05,2.44209E-05
2029,0,0.002344919,0.006658311,0.015943747,0.029246985,0.047418047,0.069083776,0.08007725,0.082968703,0.085439068,0.087046994,0.092251732,0.099018331,0.103995224,0.106015431,0.108982825,0.112079149,0.10682014,0.101737941,0.092203001,0.081237708,0.075222496,0.064821988,0.054595861,0.044591144,0.034351793,0.027915102,0.020815536,0.013604183,0.008005696,0.004681617,0.002707492,0.001505529,0.000800177,0.000409459,0.000243804,0.000140572,7.81282E-05,5.59299E-05,4.03946E-05,0.000030341,2.42129E-05
2030,0,0.002369482,0.006713539,0.016048386,0.029403699,0.047607962,0.069241445,0.080211318,0.083115288,0.085614826,0.087211735,0.092358226,0.099062524,0.104001762,0.106004063,0.10895881,0.111971444,0.106712414,0.101627232,0.092091681,0.081144795,0.075079063,0.064679793,0.054460324,0.044459806,0.034253405,0.027807375,0.020724615,0.013545652,0.007974962,0.004663292,0.002695234,0.001497526,0.000795456,0.000406962,0.000242136,0.000139583,7.76167E-05,5.55234E-05,4.00773E-05,3.00975E-05,2.40052E-05
