"","GEOID","County.x","State","Sex","Year","Age","Region.x","Births","Population","ASFR"
"1","17007","Boone County","Illinois","Female",2010,"15 to 19 years","External IL",57,2091,27.26
"2","17007","Boone County","Illinois","Female",2010,"20 to 24 years","External IL",151,1290,117.05
"3","17007","Boone County","Illinois","Female",2010,"25 to 29 years","External IL",182,1347,135.12
"4","17007","Boone County","Illinois","Female",2010,"30 to 34 years","External IL",157,1656,94.81
"5","17007","Boone County","Illinois","Female",2010,"35 to 39 years","External IL",73,1985,36.78
"6","17007","Boone County","Illinois","Female",2010,"40 to 44 years","External IL",16,2055,7.79
"7","17031","Cook County","Illinois","Female",2010,"15 to 19 years","CMAP Region",7014,176759,39.68
"8","17031","Cook County","Illinois","Female",2010,"20 to 24 years","CMAP Region",14336,187662,76.39
"9","17031","Cook County","Illinois","Female",2010,"25 to 29 years","CMAP Region",18160,221128,82.12
"10","17031","Cook County","Illinois","Female",2010,"30 to 34 years","CMAP Region",20148,198691,101.4
"11","17031","Cook County","Illinois","Female",2010,"35 to 39 years","CMAP Region",10641,182792,58.21
"12","17031","Cook County","Illinois","Female",2010,"40 to 44 years","CMAP Region",2667,175355,15.21
"13","17037","DeKalb County","Illinois","Female",2010,"15 to 19 years","External IL",71,4961,14.31
"14","17037","DeKalb County","Illinois","Female",2010,"20 to 24 years","External IL",307,7749,39.62
"15","17037","DeKalb County","Illinois","Female",2010,"25 to 29 years","External IL",428,3911,109.43
"16","17037","DeKalb County","Illinois","Female",2010,"30 to 34 years","External IL",308,3154,97.65
"17","17037","DeKalb County","Illinois","Female",2010,"35 to 39 years","External IL",124,2980,41.61
"18","17037","DeKalb County","Illinois","Female",2010,"40 to 44 years","External IL",34,2980,11.41
"19","17043","DuPage County","Illinois","Female",2010,"15 to 19 years","CMAP Region",443,31175,14.21
"20","17043","DuPage County","Illinois","Female",2010,"20 to 24 years","CMAP Region",1312,26267,49.95
"21","17043","DuPage County","Illinois","Female",2010,"25 to 29 years","CMAP Region",3064,29726,103.07
"22","17043","DuPage County","Illinois","Female",2010,"30 to 34 years","CMAP Region",3709,28468,130.29
"23","17043","DuPage County","Illinois","Female",2010,"35 to 39 years","CMAP Region",1805,30368,59.44
"24","17043","DuPage County","Illinois","Female",2010,"40 to 44 years","CMAP Region",449,33975,13.22
"25","17063","Grundy County","Illinois","Female",2010,"15 to 19 years","External IL",43,1715,25.07
"26","17063","Grundy County","Illinois","Female",2010,"20 to 24 years","External IL",107,1305,81.99
"27","17063","Grundy County","Illinois","Female",2010,"25 to 29 years","External IL",234,1642,142.51
"28","17063","Grundy County","Illinois","Female",2010,"30 to 34 years","External IL",188,1749,107.49
"29","17063","Grundy County","Illinois","Female",2010,"35 to 39 years","External IL",61,1824,33.44
"30","17063","Grundy County","Illinois","Female",2010,"40 to 44 years","External IL",16,1847,8.66
"31","17089","Kane County","Illinois","Female",2010,"15 to 19 years","CMAP Region",599,18410,32.54
"32","17089","Kane County","Illinois","Female",2010,"20 to 24 years","CMAP Region",1365,14284,95.56
"33","17089","Kane County","Illinois","Female",2010,"25 to 29 years","CMAP Region",1982,16368,121.09
"34","17089","Kane County","Illinois","Female",2010,"30 to 34 years","CMAP Region",2114,17793,118.81
"35","17089","Kane County","Illinois","Female",2010,"35 to 39 years","CMAP Region",958,18987,50.46
"36","17089","Kane County","Illinois","Female",2010,"40 to 44 years","CMAP Region",213,19009,11.21
"37","17091","Kankakee County","Illinois","Female",2010,"15 to 19 years","External IL",189,4358,43.37
"38","17091","Kankakee County","Illinois","Female",2010,"20 to 24 years","External IL",387,3928,98.52
"39","17091","Kankakee County","Illinois","Female",2010,"25 to 29 years","External IL",429,3592,119.43
"40","17091","Kankakee County","Illinois","Female",2010,"30 to 34 years","External IL",304,3529,86.14
"41","17091","Kankakee County","Illinois","Female",2010,"35 to 39 years","External IL",95,3505,27.1
"42","17091","Kankakee County","Illinois","Female",2010,"40 to 44 years","External IL",29,3653,7.94
"43","17093","Kendall County","Illinois","Female",2010,"15 to 19 years","CMAP Region",82,3805,21.55
"44","17093","Kendall County","Illinois","Female",2010,"20 to 24 years","CMAP Region",194,2582,75.14
"45","17093","Kendall County","Illinois","Female",2010,"25 to 29 years","CMAP Region",577,4083,141.32
"46","17093","Kendall County","Illinois","Female",2010,"30 to 34 years","CMAP Region",644,5080,126.77
"47","17093","Kendall County","Illinois","Female",2010,"35 to 39 years","CMAP Region",248,5355,46.31
"48","17093","Kendall County","Illinois","Female",2010,"40 to 44 years","CMAP Region",44,4750,9.26
"49","17097","Lake County","Illinois","Female",2010,"15 to 19 years","CMAP Region",621,25928,23.95
"50","17097","Lake County","Illinois","Female",2010,"20 to 24 years","CMAP Region",1445,18699,77.28
"51","17097","Lake County","Illinois","Female",2010,"25 to 29 years","CMAP Region",2130,19311,110.3
"52","17097","Lake County","Illinois","Female",2010,"30 to 34 years","CMAP Region",2560,20972,122.07
"53","17097","Lake County","Illinois","Female",2010,"35 to 39 years","CMAP Region",1342,24019,55.87
"54","17097","Lake County","Illinois","Female",2010,"40 to 44 years","CMAP Region",330,27020,12.21
"55","17099","LaSalle County","Illinois","Female",2010,"15 to 19 years","External IL",139,3686,37.71
"56","17099","LaSalle County","Illinois","Female",2010,"20 to 24 years","External IL",315,2960,106.42
"57","17099","LaSalle County","Illinois","Female",2010,"25 to 29 years","External IL",399,3260,122.39
"58","17099","LaSalle County","Illinois","Female",2010,"30 to 34 years","External IL",282,3055,92.31
"59","17099","LaSalle County","Illinois","Female",2010,"35 to 39 years","External IL",110,3169,34.71
"60","17099","LaSalle County","Illinois","Female",2010,"40 to 44 years","External IL",14,3610,3.88
"61","17103","Lee County","Illinois","Female",2010,"15 to 19 years","External IL",31,1150,26.96
"62","17103","Lee County","Illinois","Female",2010,"20 to 24 years","External IL",96,882,108.84
"63","17103","Lee County","Illinois","Female",2010,"25 to 29 years","External IL",119,913,130.34
"64","17103","Lee County","Illinois","Female",2010,"30 to 34 years","External IL",63,895,70.39
"65","17103","Lee County","Illinois","Female",2010,"35 to 39 years","External IL",24,918,26.14
"66","17103","Lee County","Illinois","Female",2010,"40 to 44 years","External IL",10,1150,8.7
"67","17111","McHenry County","Illinois","Female",2010,"15 to 19 years","CMAP Region",162,11385,14.23
"68","17111","McHenry County","Illinois","Female",2010,"20 to 24 years","CMAP Region",500,7266,68.81
"69","17111","McHenry County","Illinois","Female",2010,"25 to 29 years","CMAP Region",1003,8107,123.72
"70","17111","McHenry County","Illinois","Female",2010,"30 to 34 years","CMAP Region",1102,9128,120.73
"71","17111","McHenry County","Illinois","Female",2010,"35 to 39 years","CMAP Region",540,10930,49.41
"72","17111","McHenry County","Illinois","Female",2010,"40 to 44 years","CMAP Region",120,13109,9.15
"73","17141","Ogle County","Illinois","Female",2010,"15 to 19 years","External IL",65,1885,34.48
"74","17141","Ogle County","Illinois","Female",2010,"20 to 24 years","External IL",151,1351,111.77
"75","17141","Ogle County","Illinois","Female",2010,"25 to 29 years","External IL",149,1326,112.37
"76","17141","Ogle County","Illinois","Female",2010,"30 to 34 years","External IL",131,1466,89.36
"77","17141","Ogle County","Illinois","Female",2010,"35 to 39 years","External IL",58,1646,35.24
"78","17141","Ogle County","Illinois","Female",2010,"40 to 44 years","External IL",12,1915,6.27
"79","17197","Will County","Illinois","Female",2010,"15 to 19 years","CMAP Region",584,25353,23.03
"80","17197","Will County","Illinois","Female",2010,"20 to 24 years","CMAP Region",1394,17362,80.29
"81","17197","Will County","Illinois","Female",2010,"25 to 29 years","CMAP Region",2328,19243,120.98
"82","17197","Will County","Illinois","Female",2010,"30 to 34 years","CMAP Region",2707,22807,118.69
"83","17197","Will County","Illinois","Female",2010,"35 to 39 years","CMAP Region",1257,26727,47.03
"84","17197","Will County","Illinois","Female",2010,"40 to 44 years","CMAP Region",298,28179,10.58
"85","17201","Winnebago County","Illinois","Female",2010,"15 to 19 years","External IL",420,10105,41.56
"86","17201","Winnebago County","Illinois","Female",2010,"20 to 24 years","External IL",956,8820,108.39
"87","17201","Winnebago County","Illinois","Female",2010,"25 to 29 years","External IL",1143,9533,119.9
"88","17201","Winnebago County","Illinois","Female",2010,"30 to 34 years","External IL",835,9069,92.07
"89","17201","Winnebago County","Illinois","Female",2010,"35 to 39 years","External IL",325,9604,33.84
"90","17201","Winnebago County","Illinois","Female",2010,"40 to 44 years","External IL",79,9869,8
"91","18089","Lake County","Indiana","Female",2010,"15 to 19 years","External IN",758,17823,42.53
"92","18089","Lake County","Indiana","Female",2010,"20 to 24 years","External IN",1610,14733,109.28
"93","18089","Lake County","Indiana","Female",2010,"25 to 29 years","External IN",1889,16395,115.22
"94","18089","Lake County","Indiana","Female",2010,"30 to 34 years","External IN",1471,16126,91.22
"95","18089","Lake County","Indiana","Female",2010,"35 to 39 years","External IN",617,16083,38.36
"96","18089","Lake County","Indiana","Female",2010,"40 to 44 years","External IN",137,16291,8.41
"97","18091","LaPorte County","Indiana","Female",2010,"15 to 19 years","External IN",155,3386,45.78
"98","18091","LaPorte County","Indiana","Female",2010,"20 to 24 years","External IN",371,2822,131.47
"99","18091","LaPorte County","Indiana","Female",2010,"25 to 29 years","External IN",393,3070,128.01
"100","18091","LaPorte County","Indiana","Female",2010,"30 to 34 years","External IN",270,3090,87.38
"101","18091","LaPorte County","Indiana","Female",2010,"35 to 39 years","External IN",94,3215,29.24
"102","18091","LaPorte County","Indiana","Female",2010,"40 to 44 years","External IN",20,3394,5.89
"103","18127","Porter County","Indiana","Female",2010,"15 to 19 years","External IN",135,5796,23.29
"104","18127","Porter County","Indiana","Female",2010,"20 to 24 years","External IN",350,5303,66
"105","18127","Porter County","Indiana","Female",2010,"25 to 29 years","External IN",538,4923,109.28
"106","18127","Porter County","Indiana","Female",2010,"30 to 34 years","External IN",486,5103,95.24
"107","18127","Porter County","Indiana","Female",2010,"35 to 39 years","External IN",178,5430,32.78
"108","18127","Porter County","Indiana","Female",2010,"40 to 44 years","External IN",39,5697,6.85
"109","55059","Kenosha County","Wisconsin","Female",2010,"15 to 19 years","External WI",196,6256,31.33
"110","55059","Kenosha County","Wisconsin","Female",2010,"20 to 24 years","External WI",490,5553,88.24
"111","55059","Kenosha County","Wisconsin","Female",2010,"25 to 29 years","External WI",606,5231,115.85
"112","55059","Kenosha County","Wisconsin","Female",2010,"30 to 34 years","External WI",507,5304,95.59
"113","55059","Kenosha County","Wisconsin","Female",2010,"35 to 39 years","External WI",204,5621,36.29
"114","55059","Kenosha County","Wisconsin","Female",2010,"40 to 44 years","External WI",49,6038,8.12
"115","55101","Racine County","Wisconsin","Female",2010,"15 to 19 years","External WI",241,6320,38.13
"116","55101","Racine County","Wisconsin","Female",2010,"20 to 24 years","External WI",612,5261,116.33
"117","55101","Racine County","Wisconsin","Female",2010,"25 to 29 years","External WI",747,5974,125.04
"118","55101","Racine County","Wisconsin","Female",2010,"30 to 34 years","External WI",583,5906,98.71
"119","55101","Racine County","Wisconsin","Female",2010,"35 to 39 years","External WI",248,5951,41.67
"120","55101","Racine County","Wisconsin","Female",2010,"40 to 44 years","External WI",47,6884,6.83
"121","55127","Walworth County","Wisconsin","Female",2010,"15 to 19 years","External WI",75,3649,20.55
"122","55127","Walworth County","Wisconsin","Female",2010,"20 to 24 years","External WI",233,4072,57.22
"123","55127","Walworth County","Wisconsin","Female",2010,"25 to 29 years","External WI",351,2785,126.03
"124","55127","Walworth County","Wisconsin","Female",2010,"30 to 34 years","External WI",257,2813,91.36
"125","55127","Walworth County","Wisconsin","Female",2010,"35 to 39 years","External WI",134,3079,43.52
"126","55127","Walworth County","Wisconsin","Female",2010,"40 to 44 years","External WI",25,3307,7.56
"127","17007","Boone County","Illinois","Female",2011,"15 to 19 years","External IL",48,2131,22.52
"128","17007","Boone County","Illinois","Female",2012,"15 to 19 years","External IL",51,2064,24.71
"129","17007","Boone County","Illinois","Female",2013,"15 to 19 years","External IL",41,2074,19.77
"130","17007","Boone County","Illinois","Female",2014,"15 to 19 years","External IL",46,2014,22.84
"131","17007","Boone County","Illinois","Female",2015,"15 to 19 years","External IL",41,2014,20.36
"132","17007","Boone County","Illinois","Female",2016,"15 to 19 years","External IL",27,2017,13.39
"133","17007","Boone County","Illinois","Female",2017,"15 to 19 years","External IL",28,2062,13.58
"134","17007","Boone County","Illinois","Female",2018,"15 to 19 years","External IL",23,2029,11.34
"135","17007","Boone County","Illinois","Female",2011,"20 to 24 years","External IL",127,1393,91.17
"136","17007","Boone County","Illinois","Female",2012,"20 to 24 years","External IL",110,1423,77.3
"137","17007","Boone County","Illinois","Female",2013,"20 to 24 years","External IL",116,1492,77.75
"138","17007","Boone County","Illinois","Female",2014,"20 to 24 years","External IL",127,1571,80.84
"139","17007","Boone County","Illinois","Female",2015,"20 to 24 years","External IL",123,1650,74.55
"140","17007","Boone County","Illinois","Female",2016,"20 to 24 years","External IL",123,1603,76.73
"141","17007","Boone County","Illinois","Female",2017,"20 to 24 years","External IL",148,1668,88.73
"142","17007","Boone County","Illinois","Female",2018,"20 to 24 years","External IL",104,1664,62.5
"143","17007","Boone County","Illinois","Female",2011,"25 to 29 years","External IL",170,1314,129.38
"144","17007","Boone County","Illinois","Female",2012,"25 to 29 years","External IL",142,1252,113.42
"145","17007","Boone County","Illinois","Female",2013,"25 to 29 years","External IL",168,1251,134.29
"146","17007","Boone County","Illinois","Female",2014,"25 to 29 years","External IL",193,1301,148.35
"147","17007","Boone County","Illinois","Female",2015,"25 to 29 years","External IL",162,1311,123.57
"148","17007","Boone County","Illinois","Female",2016,"25 to 29 years","External IL",176,1343,131.05
"149","17007","Boone County","Illinois","Female",2017,"25 to 29 years","External IL",179,1365,131.14
"150","17007","Boone County","Illinois","Female",2018,"25 to 29 years","External IL",160,1388,115.27
"151","17007","Boone County","Illinois","Female",2011,"30 to 34 years","External IL",153,1627,94.04
"152","17007","Boone County","Illinois","Female",2012,"30 to 34 years","External IL",170,1595,106.58
"153","17007","Boone County","Illinois","Female",2013,"30 to 34 years","External IL",155,1596,97.12
"154","17007","Boone County","Illinois","Female",2014,"30 to 34 years","External IL",150,1542,97.28
"155","17007","Boone County","Illinois","Female",2015,"30 to 34 years","External IL",164,1467,111.79
"156","17007","Boone County","Illinois","Female",2016,"30 to 34 years","External IL",161,1497,107.55
"157","17007","Boone County","Illinois","Female",2017,"30 to 34 years","External IL",160,1455,109.97
"158","17007","Boone County","Illinois","Female",2018,"30 to 34 years","External IL",131,1445,90.66
"159","17007","Boone County","Illinois","Female",2011,"35 to 39 years","External IL",81,1838,44.07
"160","17007","Boone County","Illinois","Female",2012,"35 to 39 years","External IL",72,1733,41.55
"161","17007","Boone County","Illinois","Female",2013,"35 to 39 years","External IL",66,1706,38.69
"162","17007","Boone County","Illinois","Female",2014,"35 to 39 years","External IL",79,1671,47.28
"163","17007","Boone County","Illinois","Female",2015,"35 to 39 years","External IL",65,1675,38.81
"164","17007","Boone County","Illinois","Female",2016,"35 to 39 years","External IL",70,1684,41.57
"165","17007","Boone County","Illinois","Female",2017,"35 to 39 years","External IL",85,1692,50.24
