"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate
	"Champaign County, IL"	"17019"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	143	22458	6.37	7054	20.27
	"Champaign County, IL"	"17019"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	471	29134	16.17	7939	59.33
	"Champaign County, IL"	"17019"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	238	11681	20.37	3387	70.27
	"Champaign County, IL"	"17019"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	1041	134167	7.76	30868	33.72
	"Champaign County, IL"	"17019"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	13	692	18.79	138	94.20
	"Champaign County, IL"	"17019"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-5"	67	6163	10.87	1648	40.66
	"Cook County, IL"	"17031"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	49	32944	1.49	8112	6.04
	"Cook County, IL"	"17031"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-5"	29	6003	4.83	1297	22.36
	"Cook County, IL"	"17031"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	56	9580	5.85	2232	25.09
	"Cook County, IL"	"17031"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	4602	413331	11.13	95486	48.20
	"Cook County, IL"	"17031"	"Asian"	"A"	"Unknown or Not Stated"	"9"	18	Not Available	Not Available	Not Available	Not Available
	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	321	46662	6.88	11483	27.95
	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	11208	1159072	9.67	246991	45.38
	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	"Unknown or Not Stated"	"9"	61	Not Available	Not Available	Not Available	Not Available
	"Cook County, IL"	"17031"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	15502	1226782	12.64	280315	55.30
	"Cook County, IL"	"17031"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	19204	2098822	9.15	402170	47.75
	"Cook County, IL"	"17031"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	164	Not Available	Not Available	Not Available	Not Available
	"Cook County, IL"	"17031"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	97	27167	3.57	6281	15.44
	"Cook County, IL"	"17031"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-5"	589	85419	6.90	20263	29.07
	"DeKalb County, IL"	"17037"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	20	2620	7.63	879	22.75
	"DeKalb County, IL"	"17037"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	152	8770	17.33	3073	49.46
	"DeKalb County, IL"	"17037"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	205	11769	17.42	3054	67.13
	"DeKalb County, IL"	"17037"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	604	73422	8.23	15632	38.64
	"DeKalb County, IL"	"17037"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-5"	20	1975	10.13	541	36.97
	"DuPage County, IL"	"17043"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	11	1552	7.09	323	34.06
	"DuPage County, IL"	"17043"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	1374	123124	11.16	25366	54.17
	"DuPage County, IL"	"17043"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	39	3243	12.03	814	47.91
	"DuPage County, IL"	"17043"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	571	47565	12.00	11244	50.78
	"DuPage County, IL"	"17043"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	1948	129643	15.03	29803	65.36
	"DuPage County, IL"	"17043"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	5639	590814	9.54	100380	56.18
	"DuPage County, IL"	"17043"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	10	Not Available	Not Available	Not Available	Not Available
	"DuPage County, IL"	"17043"	"More than one race"	"M"	"Hispanic or Latino"	"2135-2"	13	3509	3.70	806	16.13
	"DuPage County, IL"	"17043"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-5"	124	16908	7.33	3752	33.05
	"Kane County, IL"	"17089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	285	23207	12.28	5010	56.89
	"Kane County, IL"	"17089"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	16	3879	4.12	950	16.84
	"Kane County, IL"	"17089"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	313	27030	11.58	5675	55.15
	"Kane County, IL"	"17089"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	2413	156502	15.42	35404	68.16
	"Kane County, IL"	"17089"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	2377	285758	8.32	46534	51.08
	"Kane County, IL"	"17089"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-5"	57	7326	7.78	1721	33.12
	"Kankakee County, IL"	"17091"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	232	15665	14.81	3323	69.82
	"Kankakee County, IL"	"17091"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	212	11612	18.26	2723	77.86
	"Kankakee County, IL"	"17091"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	666	74033	9.00	13397	49.71
	"Kankakee County, IL"	"17091"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-5"	27	2093	12.90	411	65.69
	"Kendall County, IL"	"17093"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	80	5196	15.40	1195	66.95
	"Kendall County, IL"	"17093"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	138	11714	11.78	2678	51.53
	"Kendall County, IL"	"17093"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	411	28571	14.39	6890	59.65
	"Kendall County, IL"	"17093"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	861	86484	9.96	16776	51.32
	"Kendall County, IL"	"17093"	"More than one race"	"M"	"Not Hispanic or Latino"	"2186-5"	16	2555	6.26	542	29.52
