"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"TOTAL POPULATION, ALL AGES (in thousands)",5473.709,5499.183,5523.612,5505.466,5451.512,5427.451,5397.157,5384.452,5365.776,5339.018,5285.177,5246.504,5220.298,5222.485,5213.810,5220.929,5201.817,5187.227,5172.402,5140.403,5124.339,5109.524,5149.050,5199.839,5235.344,5262.162,5283.463,5306.511,5322.117,5345.537,5365.344,5373.418,5360.562,5328.775,5294.739,5252.021,5207.615,5165.495,5154.235,5161.831,5181.728,5198.977,5234.933,5269.698,5298.403,5315.294,5319.854,5315.165,5306.658,5293.379,5282.995,5261.249,5177.606,5109.292,5107.104,5104.439,5101.177,5097.207,5092.454,5086.879,5080.544,5073.502,5065.740,5057.132,5047.763,5037.524,5026.370,5014.236,5001.131,4987.248,4972.656,4957.522,4941.945,4925.998,4909.789,4893.393,4876.928,4860.432,4843.995,4827.734,4811.681,4795.896,4780.444,4765.328,4750.580,4736.218,4722.325,4708.884,4695.900,4683.381,4671.309,4659.662
"  TOTAL POPULATION AGE UNDER 5 YEARS (in thousands)","n.a.",464.804,462.961,453.083,438.468,423.307,407.564,389.529,381.985,378.418,376.726,377.390,381.967,386.220,389.401,389.901,388.604,387.345,386.007,384.931,388.933,389.101,398.330,408.245,413.723,417.822,418.087,413.597,407.107,399.142,392.878,386.752,382.896,377.894,373.239,368.854,362.285,351.354,346.850,343.548,342.042,343.616,345.545,345.010,342.364,341.022,338.721,334.147,328.761,323.921,317.515,309.610,305.294,301.163,301.013,302.618,304.912,305.525,305.298,305.512,305.455,305.245,304.934,304.329,303.487,302.419,301.081,299.318,297.188,294.827,292.401,290.052,288.036,286.401,285.174,284.237,283.486,282.874,282.271,281.663,281.109,280.591,280.202,279.861,279.499,279.012,278.528,278.049,277.533,276.997,276.518,276.025
"    TOTAL POPULATION AGE UNDER 1 YEAR (in thousands)","n.a.",94.945,97.153,88.428,82.451,79.589,80.479,78.719,81.871,81.653,82.569,84.235,83.848,84.045,83.272,81.053,82.595,82.379,82.026,82.449,84.348,85.864,87.590,88.268,86.871,85.281,83.101,80.264,79.438,78.447,78.381,78.730,83.067,79.259,77.156,76.209,72.570,70.792,71.162,69.487,69.174,70.385,72.005,70.889,69.941,69.990,70.392,68.910,66.705,64.925,62.191,61.769,62.217,62.300,61.770,62.007,62.120,62.107,62.155,62.145,62.065,61.971,61.834,61.623,61.369,61.052,60.658,60.080,59.540,59.066,58.670,58.348,58.085,57.933,57.863,57.773,57.646,57.463,57.320,57.228,57.177,57.089,56.996,56.910,56.791,56.647,56.569,56.470,56.309,56.168,56.077,56.013
"    TOTAL POPULATION AGE 1 YEAR (in thousands)","n.a.",90.981,92.294,93.295,83.930,78.210,74.861,75.388,73.048,75.190,73.910,74.845,76.724,77.293,77.795,77.835,75.849,77.763,78.055,77.941,78.961,80.118,83.232,85.542,85.957,85.171,83.973,82.099,79.260,78.380,77.627,76.535,76.307,80.054,76.517,74.380,73.598,70.025,69.142,69.941,69.117,68.116,69.453,70.588,69.420,68.340,68.073,68.385,66.853,64.780,63.417,60.621,60.047,60.945,61.819,61.281,61.507,61.617,61.594,61.614,61.600,61.523,61.428,61.273,61.058,60.800,60.486,60.093,59.503,58.957,58.478,58.077,57.754,57.485,57.331,57.253,57.161,57.040,56.858,56.721,56.631,56.586,56.508,56.421,56.343,56.227,56.085,56.010,55.928,55.775,55.643,55.552
"    TOTAL POPULATION AGE 2 YEARS (in thousands)","n.a.",90.030,90.585,91.304,91.829,83.112,77.357,74.261,74.605,72.141,73.812,72.735,74.387,76.557,76.839,77.496,77.034,74.998,76.819,76.791,76.773,76.686,78.696,81.621,83.714,84.526,84.070,83.068,81.207,78.181,77.423,76.416,74.369,73.998,77.604,74.080,72.337,71.286,68.784,68.493,69.762,69.360,67.401,68.484,69.310,67.893,66.715,66.201,66.615,65.263,63.463,61.982,60.260,58.880,60.554,61.411,60.868,61.090,61.184,61.137,61.158,61.145,61.064,60.951,60.791,60.577,60.321,60.005,59.599,59.001,58.458,57.978,57.574,57.245,56.976,56.816,56.731,56.652,56.529,56.349,56.216,56.133,56.102,56.027,55.948,55.867,55.755,55.624,55.558,55.483,55.340,55.209
"    TOTAL POPULATION AGE 3 YEARS (in thousands)","n.a.",92.294,89.754,89.999,90.450,91.709,83.106,77.798,74.666,75.006,72.241,74.198,73.410,75.102,76.730,76.861,76.711,75.890,73.535,74.700,74.443,73.285,75.383,77.335,79.993,82.602,83.724,83.587,82.658,80.673,77.826,76.544,74.243,72.134,71.640,74.547,71.187,69.759,69.124,67.001,67.065,68.467,68.658,66.845,67.488,68.096,66.536,65.227,64.592,65.393,64.130,62.134,61.141,58.795,58.190,59.847,60.691,60.150,60.357,60.425,60.378,60.398,60.383,60.290,60.176,60.018,59.803,59.545,59.223,58.814,58.219,57.676,57.199,56.796,56.468,56.195,56.032,55.958,55.879,55.763,55.593,55.464,55.393,55.369,55.302,55.224,55.149,55.047,54.930,54.876,54.811,54.671
"    TOTAL POPULATION AGE 4 YEARS (in thousands)","n.a.",96.554,93.175,90.057,89.808,90.687,91.761,83.363,77.795,74.428,74.194,71.377,73.598,73.223,74.765,76.656,76.415,76.315,75.572,73.050,74.408,73.148,73.429,75.479,77.188,80.242,83.219,84.579,84.544,83.461,81.621,78.527,74.910,72.449,70.322,69.638,72.593,69.492,68.638,68.626,66.924,67.288,68.028,68.204,66.205,66.703,67.005,65.424,63.996,63.560,64.314,63.104,61.629,60.243,58.680,58.072,59.726,60.561,60.008,60.191,60.254,60.208,60.225,60.192,60.093,59.972,59.813,59.595,59.323,58.989,58.576,57.973,57.424,56.942,56.536,56.200,55.916,55.761,55.685,55.602,55.492,55.319,55.203,55.134,55.115,55.047,54.970,54.898,54.808,54.695,54.647,54.580
"  TOTAL POPULATION AGE 5 to 9 YEARS (in thousands)","n.a.",529.363,513.220,492.875,469.680,451.738,438.909,434.658,424.762,411.942,393.604,376.728,358.801,352.638,349.902,352.934,355.074,359.119,360.904,361.321,358.882,351.555,353.077,353.583,354.670,360.914,369.021,380.309,392.289,399.846,405.913,403.034,391.953,378.552,363.583,349.140,336.196,330.007,326.903,327.003,330.250,331.237,331.452,333.597,334.549,332.129,329.743,326.866,322.246,317.048,314.472,312.117,306.888,300.978,299.538,296.740,292.224,290.310,289.964,289.584,290.953,293.009,293.402,292.957,293.056,292.889,292.551,292.123,291.421,290.473,289.280,287.812,285.936,283.735,281.358,278.883,276.492,274.486,272.858,271.647,270.768,270.118,269.617,269.158,268.705,268.296,267.918,267.643,267.446,267.231,266.945,266.650
"    TOTAL POPULATION AGE 5 YEARS (in thousands)","n.a.",100.568,94.799,90.952,87.469,87.684,88.399,89.712,81.314,75.724,71.946,71.832,69.637,72.226,71.757,73.559,75.083,74.906,74.887,73.972,71.689,72.170,72.809,72.880,74.559,76.484,79.622,82.725,83.982,82.790,82.617,80.572,76.654,72.770,70.480,68.208,67.606,70.374,67.873,67.713,68.020,66.845,67.112,67.890,67.723,65.676,65.898,66.021,64.459,63.104,62.670,63.429,61.796,60.194,59.605,58.054,57.436,59.077,59.891,59.319,59.497,59.562,59.514,59.510,59.477,59.376,59.257,59.098,58.867,58.593,58.254,57.837,57.238,56.690,56.210,55.798,55.462,55.191,55.034,54.962,54.884,54.775,54.619,54.509,54.444,54.427,54.362,54.297,54.239,54.151,54.051,54.005
"    TOTAL POPULATION AGE 6 YEARS (in thousands)","n.a.",103.722,99.336,93.057,88.761,85.755,85.779,86.639,87.628,79.203,73.219,69.971,70.286,68.487,70.857,70.602,71.984,73.475,73.300,73.032,72.266,69.184,71.059,71.451,71.103,72.969,74.901,78.081,80.950,81.880,81.518,79.974,78.782,74.707,70.452,68.169,65.831,65.312,68.206,66.241,66.509,66.864,66.636,66.887,67.463,67.141,64.932,64.951,64.794,63.545,62.349,61.806,62.165,60.417,59.631,59.025,57.494,56.876,58.505,59.287,58.721,58.902,58.968,58.906,58.903,58.871,58.766,58.649,58.479,58.243,57.966,57.629,57.217,56.620,56.077,55.594,55.180,54.859,54.590,54.438,54.372,54.301,54.206,54.058,53.951,53.894,53.881,53.825,53.769,53.722,53.649,53.549
