"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"TOTAL POPULATION, ALL AGES (in thousands)",244.122,249.034,253.888,263.973,274.426,280.529,290.107,298.535,306.073,312.100,318.369,325.071,326.456,325.949,326.751,328.520,330.901,334.245,339.233,344.728,351.017,359.459,367.887,376.477,389.030,402.712,418.351,434.620,450.816,467.549,486.207,507.629,530.086,553.714,579.547,605.934,627.610,650.779,664.048,671.392,674.970,678.829,681.525,683.883,685.855,687.970,689.384,692.601,695.339,696.628,696.582,695.844,697.985,696.757,705.386,714.057,722.748,731.443,740.129,748.796,757.451,766.098,774.731,783.329,791.901,800.426,808.892,817.284,825.597,833.859,842.078,850.277,858.471,866.670,874.892,883.148,891.460,899.834,908.287,916.842,925.508,934.297,943.224,952.295,961.518,970.899,980.461,990.204,1000.132,1010.252,1020.566,1031.072
"  TOTAL POPULATION AGE UNDER 5 YEARS (in thousands)","n.a.",23.365,23.858,24.578,25.213,25.271,25.568,25.514,26.095,26.932,28.046,29.094,29.396,29.330,29.349,29.183,29.088,29.010,29.026,29.115,29.522,30.034,31.276,32.454,33.752,35.141,36.423,37.579,38.574,39.482,40.819,42.425,43.798,45.661,47.349,49.423,50.735,52.088,52.322,51.877,50.148,48.684,46.505,44.636,43.102,41.981,41.392,41.421,40.857,40.607,40.113,39.391,39.137,39.241,40.021,41.329,41.708,42.261,42.694,43.223,43.713,44.218,44.752,45.323,45.929,46.541,47.150,47.739,48.292,48.836,49.334,49.812,50.256,50.647,50.987,51.312,51.599,51.909,52.241,52.576,52.909,53.256,53.606,53.974,54.376,54.798,55.272,55.767,56.318,56.924,57.588,58.283
"    TOTAL POPULATION AGE UNDER 1 YEAR (in thousands)","n.a.",4.623,4.825,4.596,4.528,4.555,4.856,4.946,5.341,5.532,5.799,6.093,6.083,6.009,5.913,5.704,5.811,5.788,5.762,5.811,5.942,6.204,6.373,6.478,6.563,6.731,6.922,7.066,7.265,7.462,7.835,8.295,8.433,8.829,9.022,9.613,9.362,9.604,9.872,9.658,9.129,8.886,8.156,8.055,7.809,7.703,7.916,7.903,7.422,7.524,7.201,7.173,7.957,8.054,8.070,8.195,8.289,8.386,8.480,8.583,8.678,8.788,8.910,9.038,9.164,9.275,9.383,9.490,9.592,9.694,9.765,9.848,9.904,9.954,10.001,10.057,10.120,10.187,10.247,10.296,10.365,10.432,10.509,10.588,10.674,10.762,10.882,10.988,11.123,11.271,11.419,11.573
"    TOTAL POPULATION AGE 1 YEAR (in thousands)","n.a.",4.578,4.776,5.062,4.808,4.635,4.690,4.958,5.008,5.353,5.512,5.757,5.866,5.834,5.797,5.733,5.558,5.686,5.706,5.697,5.763,5.914,6.318,6.508,6.668,6.808,7.043,7.256,7.388,7.578,7.852,8.214,8.918,9.088,9.383,9.501,10.335,10.121,9.864,10.064,9.768,9.289,9.068,8.356,8.308,7.922,7.877,8.087,8.176,7.714,7.715,7.551,8.164,7.976,8.192,8.209,8.333,8.431,8.529,8.624,8.726,8.823,8.936,9.057,9.189,9.314,9.427,9.534,9.642,9.747,9.851,9.925,10.012,10.071,10.124,10.174,10.232,10.298,10.372,10.435,10.483,10.557,10.628,10.707,10.788,10.877,10.969,11.089,11.194,11.334,11.479,11.631
"    TOTAL POPULATION AGE 2 YEARS (in thousands)","n.a.",4.466,4.622,4.940,5.260,4.930,4.825,4.873,5.140,5.171,5.542,5.680,5.764,5.843,5.829,5.810,5.766,5.607,5.766,5.791,5.791,5.865,6.152,6.543,6.807,7.034,7.239,7.505,7.722,7.836,8.104,8.434,8.570,9.334,9.534,9.719,9.987,10.805,10.323,9.948,10.056,9.744,9.298,9.117,8.522,8.517,8.132,8.160,8.355,8.390,7.940,7.854,7.280,8.177,8.104,8.323,8.338,8.462,8.561,8.662,8.757,8.858,8.956,9.074,9.198,9.333,9.460,9.573,9.679,9.789,9.892,9.996,10.076,10.166,10.230,10.286,10.333,10.397,10.468,10.547,10.607,10.661,10.740,10.813,10.891,10.975,11.066,11.160,11.283,11.384,11.525,11.670
"    TOTAL POPULATION AGE 3 YEARS (in thousands)","n.a.",4.741,4.711,4.970,5.314,5.560,5.268,5.131,5.155,5.407,5.440,5.808,5.756,5.804,5.904,5.908,5.904,5.870,5.735,5.897,5.929,5.941,6.203,6.459,6.928,7.239,7.514,7.727,7.979,8.157,8.322,8.579,8.871,9.084,9.859,10.131,10.358,10.633,11.234,10.724,10.227,10.194,9.812,9.317,9.158,8.600,8.727,8.417,8.348,8.489,8.628,8.106,7.756,7.270,8.275,8.204,8.424,8.435,8.564,8.664,8.763,8.860,8.963,9.064,9.182,9.307,9.443,9.569,9.678,9.791,9.901,10.007,10.116,10.197,10.289,10.356,10.410,10.465,10.532,10.607,10.686,10.753,10.807,10.888,10.962,11.046,11.131,11.221,11.315,11.438,11.546,11.683
"    TOTAL POPULATION AGE 4 YEARS (in thousands)","n.a.",4.957,4.924,5.010,5.303,5.591,5.929,5.606,5.451,5.469,5.753,5.756,5.927,5.840,5.906,6.028,6.049,6.059,6.057,5.919,6.097,6.110,6.230,6.466,6.786,7.329,7.705,8.025,8.220,8.449,8.706,8.903,9.006,9.326,9.551,10.459,10.693,10.925,11.029,11.483,10.968,10.571,10.171,9.791,9.305,9.239,8.740,8.854,8.556,8.490,8.629,8.707,7.980,7.764,7.380,8.398,8.324,8.547,8.560,8.690,8.789,8.889,8.987,9.090,9.196,9.312,9.437,9.573,9.701,9.815,9.925,10.036,10.148,10.259,10.343,10.439,10.504,10.562,10.622,10.691,10.768,10.853,10.922,10.978,11.061,11.138,11.224,11.309,11.403,11.497,11.619,11.726
"  TOTAL POPULATION AGE 5 to 9 YEARS (in thousands)","n.a.",28.500,27.945,27.985,28.038,27.793,28.279,29.146,29.556,29.635,29.521,29.313,28.073,27.464,27.304,27.557,27.919,28.551,29.153,29.742,30.104,30.304,30.962,31.351,32.127,33.494,35.257,37.304,39.334,40.948,42.899,44.396,46.036,47.812,49.479,50.712,52.235,53.821,54.786,55.545,56.222,55.816,54.501,53.624,52.224,50.791,49.554,48.152,47.132,46.009,45.253,44.671,43.793,42.536,42.022,41.154,41.169,41.059,41.743,42.573,43.932,44.325,44.911,45.373,45.926,46.453,47.002,47.570,48.157,48.790,49.425,50.066,50.698,51.315,51.920,52.488,53.037,53.543,54.000,54.420,54.816,55.206,55.615,56.016,56.425,56.839,57.238,57.642,58.055,58.496,58.945,59.434
"    TOTAL POPULATION AGE 5 YEARS (in thousands)","n.a.",5.432,5.172,5.206,5.266,5.440,5.757,6.044,5.661,5.441,5.428,5.660,5.487,5.630,5.578,5.676,5.817,5.864,5.918,5.931,5.817,6.005,6.120,6.209,6.493,6.857,7.454,7.850,8.139,8.220,8.612,8.907,9.221,9.348,9.647,9.796,10.540,10.866,10.836,10.866,11.117,10.714,10.495,10.180,9.871,9.397,9.329,8.860,8.970,8.669,8.603,8.835,8.581,7.924,7.820,7.437,8.455,8.382,8.607,8.621,8.753,8.851,8.954,9.055,9.156,9.261,9.381,9.508,9.642,9.771,9.885,9.998,10.112,10.224,10.342,10.426,10.525,10.591,10.653,10.717,10.789,10.871,10.957,11.029,11.090,11.173,11.251,11.338,11.428,11.520,11.615,11.738
"    TOTAL POPULATION AGE 6 YEARS (in thousands)","n.a.",5.585,5.397,5.259,5.303,5.287,5.533,5.841,6.113,5.709,5.506,5.497,5.567,5.372,5.538,5.515,5.629,5.793,5.879,5.942,5.969,5.847,6.145,6.209,6.321,6.628,7.021,7.616,7.968,8.200,8.408,8.692,9.230,9.642,9.806,9.962,10.097,10.908,11.158,11.003,10.913,11.101,10.675,10.649,10.186,9.944,9.383,9.429,8.981,9.076,8.767,8.657,8.644,8.567,8.028,7.926,7.532,8.562,8.491,8.718,8.730,8.861,8.962,9.066,9.168,9.272,9.378,9.497,9.621,9.761,9.891,10.006,10.123,10.240,10.358,10.472,10.560,10.660,10.731,10.800,10.864,10.942,11.027,11.112,11.191,11.254,11.337,11.415,11.506,11.594,11.686,11.781
