"","GEOID","County","State","Year","Race","Population","Householder","head.rate"
"1","17031","Cook County","Illinois",2005,"All",5206357,1937864,0.372211125744931
"2","17031","Cook County","Illinois",2005,"White",2774713,1156561,0.416821847881204
"3","17031","Cook County","Illinois",2005,"Black",1341961,478051,0.356233154316705
"4","17031","Cook County","Illinois",2005,"Asian",281587,96978,0.344398001328186
"5","17031","Cook County","Illinois",2005,"NH_White",2344621,1041120,0.444046180598058
"6","17031","Cook County","Illinois",2005,"Hispanic",1172839,303041,0.25838243782821
"7","17031","Cook County","Illinois",2005,"Other",808096,206274,0.255259276125609
"8","17031","Cook County","Illinois",2005,"NH",4033518,1634823,0.405309459385083
"9","17037","DeKalb County","Illinois",2005,"All",89223,34583,0.387601851540522
"10","17037","DeKalb County","Illinois",2005,"White",80483,31257,0.388367729831144
"11","17037","DeKalb County","Illinois",2005,"Black",3059,1500,0.4903563255966
"12","17037","DeKalb County","Illinois",2005,"Asian",2148,785,0.365456238361266
"13","17037","DeKalb County","Illinois",2005,"NH_White",NA,30175,NA
"14","17037","DeKalb County","Illinois",2005,"Hispanic",NA,1672,NA
"15","17037","DeKalb County","Illinois",2005,"Other",3533,1041,0.294650438720634
"16","17037","DeKalb County","Illinois",2005,"NH",NA,32911,NA
"17","17043","DuPage County","Illinois",2005,"All",913781,330540,0.361727810055144
"18","17043","DuPage County","Illinois",2005,"White",744017,279664,0.37588388437361
"19","17043","DuPage County","Illinois",2005,"Black",36322,12306,0.33880292935411
"20","17043","DuPage County","Illinois",2005,"Asian",90165,28173,0.312460489103311
"21","17043","DuPage County","Illinois",2005,"NH_White",671157,260186,0.387667863108036
"22","17043","DuPage County","Illinois",2005,"Hispanic",104823,27821,0.265409309025691
"23","17043","DuPage County","Illinois",2005,"Other",43277,10397,0.240243085241583
"24","17043","DuPage County","Illinois",2005,"NH",808958,302719,0.374208549764017
"25","17089","Kane County","Illinois",2005,"All",475683,155090,0.326036457052281
"26","17089","Kane County","Illinois",2005,"White",395475,133519,0.337616789936153
"27","17089","Kane County","Illinois",2005,"Black",25808,9037,0.350162740235586
"28","17089","Kane County","Illinois",2005,"Asian",13528,3642,0.269219396806623
"29","17089","Kane County","Illinois",2005,"NH_White",300718,110911,0.368820622643141
"30","17089","Kane County","Illinois",2005,"Hispanic",131973,31131,0.235889159146189
"31","17089","Kane County","Illinois",2005,"Other",40872,8892,0.217557251908397
"32","17089","Kane County","Illinois",2005,"NH",343710,123959,0.360649966541561
"33","17091","Kankakee County","Illinois",2005,"All",103593,39761,0.383819370034655
"34","17091","Kankakee County","Illinois",2005,"White",84659,33166,0.391759883769003
"35","17091","Kankakee County","Illinois",2005,"Black",15532,5622,0.361962400206026
"36","17091","Kankakee County","Illinois",2005,"Asian",1017,482,0.473942969518191
"37","17091","Kankakee County","Illinois",2005,"NH_White",NA,31874,NA
"38","17091","Kankakee County","Illinois",2005,"Hispanic",NA,1639,NA
"39","17091","Kankakee County","Illinois",2005,"Other",2385,491,0.205870020964361
"40","17091","Kankakee County","Illinois",2005,"NH",NA,38122,NA
"41","17093","Kendall County","Illinois",2005,"All",79322,NA,NA
"42","17093","Kendall County","Illinois",2005,"White",70528,NA,NA
"43","17093","Kendall County","Illinois",2005,"Black",1961,NA,NA
"44","17093","Kendall County","Illinois",2005,"Asian",1615,NA,NA
"45","17093","Kendall County","Illinois",2005,"NH_White",NA,22523,NA
"46","17093","Kendall County","Illinois",2005,"Hispanic",NA,3042,NA
"47","17093","Kendall County","Illinois",2005,"Other",5218,NA,NA
"48","17093","Kendall County","Illinois",2005,"NH",NA,NA,NA
"49","17097","Lake County","Illinois",2005,"All",684726,232046,0.338888840207616
"50","17097","Lake County","Illinois",2005,"White",558492,193874,0.347138365455548
"51","17097","Lake County","Illinois",2005,"Black",43121,15491,0.35924491547042
"52","17097","Lake County","Illinois",2005,"Asian",39343,12061,0.306560252141423
"53","17097","Lake County","Illinois",2005,"NH_White",468322,172980,0.369361251446654
"54","17097","Lake County","Illinois",2005,"Hispanic",125908,29753,0.236307462591734
"55","17097","Lake County","Illinois",2005,"Other",43770,10620,0.242631939684716
"56","17097","Lake County","Illinois",2005,"NH",558818,202293,0.362001581910389
"57","17099","LaSalle County","Illinois",2005,"All",109658,44453,0.405378540553357
"58","17099","LaSalle County","Illinois",2005,"White",105575,43220,0.409377219985792
"59","17099","LaSalle County","Illinois",2005,"Black",210,95,0.452380952380952
"60","17099","LaSalle County","Illinois",2005,"Asian",852,224,0.262910798122066
"61","17099","LaSalle County","Illinois",2005,"NH_White",NA,41332,NA
"62","17099","LaSalle County","Illinois",2005,"Hispanic",NA,2341,NA
"63","17099","LaSalle County","Illinois",2005,"Other",3021,914,0.30254882489242
"64","17099","LaSalle County","Illinois",2005,"NH",NA,42112,NA
"65","17111","McHenry County","Illinois",2005,"All",302471,103623,0.342588215068552
"66","17111","McHenry County","Illinois",2005,"White",275234,96967,0.352307491080317
"67","17111","McHenry County","Illinois",2005,"Black",1951,519,0.266017426960533
"68","17111","McHenry County","Illinois",2005,"Asian",8063,1854,0.229939228574972
"69","17111","McHenry County","Illinois",2005,"NH_White",259061,93404,0.360548287854984
"70","17111","McHenry County","Illinois",2005,"Hispanic",30661,7048,0.229868562669189
"71","17111","McHenry County","Illinois",2005,"Other",17223,4283,0.248679091911978
"72","17111","McHenry County","Illinois",2005,"NH",271810,96575,0.355303336889739
"73","17197","Will County","Illinois",2005,"All",634183,204500,0.322462128439268
"74","17197","Will County","Illinois",2005,"White",488410,162978,0.333690956368625
"75","17197","Will County","Illinois",2005,"Black",64169,21620,0.336922813196403
"76","17197","Will County","Illinois",2005,"Asian",22482,6008,0.267236011031047
"77","17197","Will County","Illinois",2005,"NH_White",457285,156414,0.342049269055403
"78","17197","Will County","Illinois",2005,"Hispanic",81655,18571,0.227432490355765
"79","17197","Will County","Illinois",2005,"Other",59122,13894,0.235005581678563
"80","17197","Will County","Illinois",2005,"NH",552528,185929,0.336506023224162
"81","17201","Winnebago County","Illinois",2005,"All",283565,109408,0.38583040925361
"82","17201","Winnebago County","Illinois",2005,"White",224806,90098,0.400781117941692
"83","17201","Winnebago County","Illinois",2005,"Black",31138,11206,0.359881816430085
"84","17201","Winnebago County","Illinois",2005,"Asian",5924,1798,0.303511141120864
"85","17201","Winnebago County","Illinois",2005,"NH_White",215034,87523,0.407019355078732
"86","17201","Winnebago County","Illinois",2005,"Hispanic",27585,8166,0.296030451332246
"87","17201","Winnebago County","Illinois",2005,"Other",21697,6306,0.290639258883717
"88","17201","Winnebago County","Illinois",2005,"NH",255980,101242,0.395507461520431
"89","18089","Lake County","Indiana",2005,"All",487663,184894,0.37914297373391
"90","18089","Lake County","Indiana",2005,"White",306702,121140,0.394976230999472
"91","18089","Lake County","Indiana",2005,"Black",126233,48011,0.380336362124009
"92","18089","Lake County","Indiana",2005,"Asian",4669,1627,0.348468622831441
"93","18089","Lake County","Indiana",2005,"NH_White",284709,114258,0.401315026922226
"94","18089","Lake County","Indiana",2005,"Hispanic",67442,20346,0.301681444797011
"95","18089","Lake County","Indiana",2005,"Other",50059,14116,0.281987255039054
"96","18089","Lake County","Indiana",2005,"NH",420221,164548,0.391574909392915
"97","18091","LaPorte County","Indiana",2005,"All",104164,41570,0.399082216504743
"98","18091","LaPorte County","Indiana",2005,"White",92817,37995,0.409353889912408
"99","18091","LaPorte County","Indiana",2005,"Black",8291,2915,0.351586057170426
"100","18091","LaPorte County","Indiana",2005,"Asian",381,150,0.393700787401575
"101","18091","LaPorte County","Indiana",2005,"NH_White",NA,36976,NA
"102","18091","LaPorte County","Indiana",2005,"Hispanic",NA,1221,NA
"103","18091","LaPorte County","Indiana",2005,"Other",2675,510,0.190654205607477
"104","18091","LaPorte County","Indiana",2005,"NH",NA,40349,NA
"105","18127","Porter County","Indiana",2005,"All",154188,59365,0.385016992243236
"106","18127","Porter County","Indiana",2005,"White",143123,55245,0.385996660215339
"107","18127","Porter County","Indiana",2005,"Black",3109,1550,0.498552589256996
"108","18127","Porter County","Indiana",2005,"Asian",1393,549,0.394113424264178
"109","18127","Porter County","Indiana",2005,"NH_White",138074,53751,0.389291249619769
"110","18127","Porter County","Indiana",2005,"Hispanic",9263,2820,0.304437007448991
"111","18127","Porter County","Indiana",2005,"Other",6563,2021,0.307938442785312
"112","18127","Porter County","Indiana",2005,"NH",144925,56545,0.390167327928239
"113","55059","Kenosha County","Wisconsin",2005,"All",156308,58715,0.375636563707552
"114","55059","Kenosha County","Wisconsin",2005,"White",135993,52167,0.383600626502835
"115","55059","Kenosha County","Wisconsin",2005,"Black",8045,3041,0.37799875699192
"116","55059","Kenosha County","Wisconsin",2005,"Asian",2102,570,0.271170313986679
"117","55059","Kenosha County","Wisconsin",2005,"NH_White",129034,50338,0.390114233457848
"118","55059","Kenosha County","Wisconsin",2005,"Hispanic",14202,4118,0.289959160681594
"119","55059","Kenosha County","Wisconsin",2005,"Other",10168,2937,0.288847364280094
"120","55059","Kenosha County","Wisconsin",2005,"NH",142106,54597,0.384199118967531
"121","55101","Racine County","Wisconsin",2005,"All",190368,74839,0.393128046730543
"122","55101","Racine County","Wisconsin",2005,"White",159917,64647,0.404253456480549
"123","55101","Racine County","Wisconsin",2005,"Black",19651,7150,0.363849167981273
"124","55101","Racine County","Wisconsin",2005,"Asian",2129,591,0.277595115077501
"125","55101","Racine County","Wisconsin",2005,"NH_White",148315,61588,0.415251323197249
"126","55101","Racine County","Wisconsin",2005,"Hispanic",18022,4857,0.269503939629342
"127","55101","Racine County","Wisconsin",2005,"Other",8671,2451,0.282666359128128
"128","55101","Racine County","Wisconsin",2005,"NH",172346,69982,0.406055260928597
"129","55127","Walworth County","Wisconsin",2005,"All",96394,NA,NA
"130","55127","Walworth County","Wisconsin",2005,"White",89205,NA,NA
"131","55127","Walworth County","Wisconsin",2005,"Black",495,NA,NA
"132","55127","Walworth County","Wisconsin",2005,"Asian",842,NA,NA
"133","55127","Walworth County","Wisconsin",2005,"NH_White",NA,36460,NA
"134","55127","Walworth County","Wisconsin",2005,"Hispanic",NA,1747,NA
"135","55127","Walworth County","Wisconsin",2005,"Other",5852,NA,NA
"136","55127","Walworth County","Wisconsin",2005,"NH",NA,NA,NA
"137","17031","Cook County","Illinois",2006,"All",5288655,1932197,0.365347522196097
"138","17031","Cook County","Illinois",2006,"White",2688083,1120022,0.416661985511608
"139","17031","Cook County","Illinois",2006,"Black",1372506,475535,0.346472073710425
"140","17031","Cook County","Illinois",2006,"Asian",295511,97977,0.331551109772563
"141","17031","Cook County","Illinois",2006,"NH_White",2366581,1034668,0.437199487361726
"142","17031","Cook County","Illinois",2006,"Hispanic",1200957,308361,0.256762731721452
"143","17031","Cook County","Illinois",2006,"Other",932555,238663,0.255923779294519
"144","17031","Cook County","Illinois",2006,"NH",4087698,1623836,0.397249503265652
"145","17037","DeKalb County","Illinois",2006,"All",100139,35020,0.349713897682222
"146","17037","DeKalb County","Illinois",2006,"White",85329,31182,0.365432619625215
"147","17037","DeKalb County","Illinois",2006,"Black",5490,1413,0.257377049180328
"148","17037","DeKalb County","Illinois",2006,"Asian",2523,751,0.297661514070551
"149","17037","DeKalb County","Illinois",2006,"NH_White",NA,30693,NA
"150","17037","DeKalb County","Illinois",2006,"Hispanic",NA,1780,NA
"151","17037","DeKalb County","Illinois",2006,"Other",6797,1674,0.24628512579079
"152","17037","DeKalb County","Illinois",2006,"NH",NA,33240,NA
"153","17043","DuPage County","Illinois",2006,"All",932670,336658,0.360961540523443
"154","17043","DuPage County","Illinois",2006,"White",753669,279935,0.371429632902508
"155","17043","DuPage County","Illinois",2006,"Black",40088,16032,0.39992017561365
"156","17043","DuPage County","Illinois",2006,"Asian",91407,29240,0.319887973568764
"157","17043","DuPage County","Illinois",2006,"NH_White",679285,258497,0.38054277659598
"158","17043","DuPage County","Illinois",2006,"Hispanic",110889,30324,0.27346265184103
"159","17043","DuPage County","Illinois",2006,"Other",47506,11451,0.241043236643792
"160","17043","DuPage County","Illinois",2006,"NH",821781,306334,0.372768413969172
"161","17089","Kane County","Illinois",2006,"All",493735,161812,0.327730462697601
"162","17089","Kane County","Illinois",2006,"White",387775,134881,0.347833150667268
