"GEOID","County","State","Year","Race","Population","Householder","head.rate"
17007,"Boone County","Illinois",1990,"Hispanic",2065,503,0.243583535108959
17007,"Boone County","Illinois",1990,"NH_White",28421,10359,0.364484008303719
17007,"Boone County","Illinois",1990,"NH_Black",121,36,0.297520661157025
17007,"Boone County","Illinois",1990,"NH_Asian",147,32,0.217687074829932
17007,"Boone County","Illinois",1990,"NH_Other",52,1,0.0192307692307692
17031,"Cook County","Illinois",1990,"Hispanic",694194,178575,0.257240771311766
17031,"Cook County","Illinois",1990,"NH_White",2915634,1213124,0.416075543089428
17031,"Cook County","Illinois",1990,"NH_Black",1301196,430218,0.330632740955244
17031,"Cook County","Illinois",1990,"NH_Asian",181285,53633,0.295849077419533
17031,"Cook County","Illinois",1990,"NH_Other",12758,1206,0.0945289230286879
17037,"DeKalb County","Illinois",1990,"Hispanic",2329,548,0.235294117647059
17037,"DeKalb County","Illinois",1990,"NH_White",71693,24861,0.346770256510399
17037,"DeKalb County","Illinois",1990,"NH_Black",2036,525,0.257858546168959
17037,"DeKalb County","Illinois",1990,"NH_Asian",1715,429,0.250145772594752
17037,"DeKalb County","Illinois",1990,"NH_Other",159,10,0.0628930817610063
17043,"DuPage County","Illinois",1990,"Hispanic",34567,8793,0.254375560505685
17043,"DuPage County","Illinois",1990,"NH_White",691833,254776,0.368262282949787
17043,"DuPage County","Illinois",1990,"NH_Black",15119,5206,0.344334942787221
17043,"DuPage County","Illinois",1990,"NH_Asian",38931,10186,0.261642392951632
17043,"DuPage County","Illinois",1990,"NH_Other",1216,64,0.0526315789473684
17063,"Grundy County","Illinois",1990,"Hispanic",748,210,0.280748663101604
17063,"Grundy County","Illinois",1990,"NH_White",31433,11724,0.37298380682722
17063,"Grundy County","Illinois",1990,"NH_Black",15,4,0.266666666666667
17063,"Grundy County","Illinois",1990,"NH_Asian",105,30,0.285714285714286
17063,"Grundy County","Illinois",1990,"NH_Other",36,0,0
17089,"Kane County","Illinois",1990,"Hispanic",43535,9855,0.226369587688067
17089,"Kane County","Illinois",1990,"NH_White",250551,90677,0.361910349589505
17089,"Kane County","Illinois",1990,"NH_Black",18353,5391,0.29373944314281
17089,"Kane County","Illinois",1990,"NH_Asian",4227,1040,0.246037378755619
17089,"Kane County","Illinois",1990,"NH_Other",805,41,0.0509316770186335
17091,"Kankakee County","Illinois",1990,"Hispanic",1946,469,0.241007194244604
17091,"Kankakee County","Illinois",1990,"NH_White",79208,29456,0.371881628118372
17091,"Kankakee County","Illinois",1990,"NH_Black",14293,4501,0.314909396207934
17091,"Kankakee County","Illinois",1990,"NH_Asian",618,141,0.228155339805825
17091,"Kankakee County","Illinois",1990,"NH_Other",190,5,0.0263157894736842
17093,"Kendall County","Illinois",1990,"Hispanic",1805,395,0.218836565096953
17093,"Kendall County","Illinois",1990,"NH_White",37134,12782,0.344212850756719
17093,"Kendall County","Illinois",1990,"NH_Black",205,61,0.297560975609756
17093,"Kendall County","Illinois",1990,"NH_Asian",210,44,0.20952380952381
17093,"Kendall County","Illinois",1990,"NH_Other",59,2,0.0338983050847458
17097,"Lake County","Illinois",1990,"Hispanic",38570,8811,0.228441794140524
17097,"Lake County","Illinois",1990,"NH_White",430566,151780,0.352512739045814
17097,"Lake County","Illinois",1990,"NH_Black",33736,10023,0.297101019682239
17097,"Lake County","Illinois",1990,"NH_Asian",12135,2963,0.244169756901525
17097,"Lake County","Illinois",1990,"NH_Other",1411,58,0.0411055988660524
17099,"LaSalle County","Illinois",1990,"Hispanic",3249,867,0.2668513388735
17099,"LaSalle County","Illinois",1990,"NH_White",101790,40072,0.393673248845663
17099,"LaSalle County","Illinois",1990,"NH_Black",1135,165,0.145374449339207
17099,"LaSalle County","Illinois",1990,"NH_Asian",499,118,0.236472945891784
17099,"LaSalle County","Illinois",1990,"NH_Other",240,4,0.0166666666666667
17103,"Lee County","Illinois",1990,"Hispanic",727,149,0.204951856946355
17103,"Lee County","Illinois",1990,"NH_White",32191,12125,0.376658072131962
17103,"Lee County","Illinois",1990,"NH_Black",1212,137,0.113036303630363
17103,"Lee County","Illinois",1990,"NH_Asian",170,38,0.223529411764706
17103,"Lee County","Illinois",1990,"NH_Other",92,4,0.0434782608695652
17111,"McHenry County","Illinois",1990,"Hispanic",6066,1417,0.233597098582262
17111,"McHenry County","Illinois",1990,"NH_White",175299,61033,0.348165134997918
17111,"McHenry County","Illinois",1990,"NH_Black",287,73,0.254355400696864
17111,"McHenry County","Illinois",1990,"NH_Asian",1246,314,0.252006420545746
17111,"McHenry County","Illinois",1990,"NH_Other",343,10,0.0291545189504373
17141,"Ogle County","Illinois",1990,"Hispanic",1379,331,0.240029006526468
17141,"Ogle County","Illinois",1990,"NH_White",44275,16717,0.377571993224167
17141,"Ogle County","Illinois",1990,"NH_Black",66,21,0.318181818181818
17141,"Ogle County","Illinois",1990,"NH_Asian",124,29,0.233870967741935
17141,"Ogle County","Illinois",1990,"NH_Other",113,4,0.0353982300884956
17197,"Will County","Illinois",1990,"Hispanic",19973,4666,0.233615380764031
17197,"Will County","Illinois",1990,"NH_White",294103,100370,0.341274995494776
17197,"Will County","Illinois",1990,"NH_Black",37752,10567,0.279905700360246
17197,"Will County","Illinois",1990,"NH_Asian",4608,1106,0.240017361111111
17197,"Will County","Illinois",1990,"NH_Other",877,37,0.0421892816419612
17201,"Winnebago County","Illinois",1990,"Hispanic",7771,2117,0.272423111568653
17201,"Winnebago County","Illinois",1990,"NH_White",218403,85986,0.393703383195286
17201,"Winnebago County","Illinois",1990,"NH_Black",23053,7645,0.331627120114519
17201,"Winnebago County","Illinois",1990,"NH_Asian",2899,735,0.253535701966195
17201,"Winnebago County","Illinois",1990,"NH_Other",787,13,0.0165184243964422
18089,"Lake County","Indiana",1990,"Hispanic",44526,12636,0.283789246732246
